Cuenta,Password,Nombre_apellido,Departamentos
acamposg,Lmcdu-01,ANTONIO CAMPOS GALLEGO,Comercial
pchavesc,Lmcdu-01,PEPE CHAVES CAMPOS,Comercial
ichavesv,Lmcdu-01,IGNACIO CHAVES VARGAS,Comercial
fcoelloa,Lmcdu-01,FRANCISCO COELLO ALABAU,Comercial
lnavarror,Lmcdu-01,LUIS NAVARRO RUIZ,Comercial
bpujolg,Lmcdu-01,BASILIO PUJOL GOMIS,Comercial
lalbaa,Lmcdu-01,LAURA ALBA ARIAS,Comptabilitat
jariasp,Lmcdu-01,JAVIER ARIAS PUJOL,Comptabilitat
cmonchoa,Lmcdu-01,CLAUDIO MONCHO AGUILAR,Comptabilitat
bmonchoc,Lmcdu-01,BASILIO MONCHO COELLO,Comptabilitat
jaguilara,Lmcdu-01,JOHANN AGUILAR ALBA,Informatica
salabaus,Lmcdu-01,SUSANA ALABAU SANCHO,Informatica
lalbaa,Lmcdu-01,LAURA ALBA ALABAU,Informatica
salbam,Lmcdu-01,SARA ALBA MONCHO,Informatica
fcamposg,Lmcdu-01,FRANCISCO CAMPOS GOMIS,Informatica
jcarvalhog,Lmcdu-01,JORGE CARVALHO GOMIS,Informatica
rgallegoc,Lmcdu-01,RODRIGO GALLEGO CHAVES,Informatica
pgomisz,Lmcdu-01,PEDRO GOMIS ZAMBUJO,Informatica
mjuanp,Lmcdu-01,MARIO JUAN PUJOL,Informatica
mjuanv,Lmcdu-01,MARIO JUAN VALENCIA,Informatica
epellicerj,Lmcdu-01,EVA PELLICER JUAN,Informatica
iruizm,Lmcdu-01,ISABEL RUIZ MONCHO,Informatica
psanchoc,Lmcdu-01,PEPE SANCHO CARVALHO,Informatica
pvalenciar,Lmcdu-01,PIEDAD VALENCIA RUIZ,Informatica
icarvalhoa,Lmcdu-01,ISABEL CARVALHO ALABAU,Personal
jcarvalhop,Lmcdu-01,JORGE CARVALHO PELLICER,Personal
ichavesj,Lmcdu-01,IGNACIO CHAVES JUAN,Personal
mvargasc,Lmcdu-01,MANUEL VARGAS COELLO,Personal
szambujoc,Lmcdu-01,SARA ZAMBUJO CAMPOS,Personal
